symbol,name,sector,sub_industry,sector_etf
BAC,Bank of America,Financials,Diversified Banks,XLF
BAX,Baxter International,Health Care,Health Care Equipment,XLV
BDX,Becton Dickinson,Health Care,Health Care Equipment,XLV
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,XLF
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,XLY
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,XLV
BIIB,Biogen,Health Care,Biotechnology,XLV
BLK,BlackRock,Financials,Asset Management & Custody Banks,XLF
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,XLF
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,XLF
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,XLF
BA,Boeing,Industrials,Aerospace & Defense,XLI
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",XLY
BSX,Boston Scientific,Health Care,Health Care Equipment,XLV
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,XLV
AVGO,Broadcom,Information Technology,Semiconductors,XLK
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,XLI
BRO,Brown & Brown,Financials,Insurance Brokers,XLF
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,XLP
BLDR,Builders FirstSource,Industrials,Building Products,XLI
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,XLP
BXP,"BXP, Inc.",Real Estate,Office REITs,XLRE
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,XLI
CDNS,Cadence Design Systems,Information Technology,Application Software,XLK
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,XLRE
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,XLP
COF,Capital One,Financials,Consumer Finance,XLF
CAH,Cardinal Health,Health Care,Health Care Distributors,XLV
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",XLY
CARR,Carrier Global,Industrials,Building Products,XLI
CVNA,Carvana,Consumer Discretionary,Automotive Retail,XLY
CASY,Casey's,Consumer Staples,Food Retail,XLP
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,XLI
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,XLF
CBRE,CBRE Group,Real Estate,Real Estate Services,XLRE
CDW,CDW Corporation,Information Technology,Technology Distributors,XLK
COR,Cencora,Health Care,Health Care Distributors,XLV
CNC,Centene Corporation,Health Care,Managed Health Care,XLV
CNP,CenterPoint Energy,Utilities,Multi-Utilities,XLU
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,XLB
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,XLV
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,XLF
CHTR,Charter Communications,Communication Services,Cable & Satellite,XLC
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,XLE
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,XLY
CB,Chubb Limited,Financials,Property & Casualty Insurance,XLF
CHD,Church & Dwight,Consumer Staples,Household Products,XLP
CIEN,Ciena,Information Technology,Communications Equipment,XLK
CI,Cigna,Health Care,Health Care Services,XLV
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,XLF
CTAS,Cintas,Industrials,Diversified Support Services,XLI
CSCO,Cisco,Information Technology,Communications Equipment,XLK
C,Citigroup,Financials,Diversified Banks,XLF
CFG,Citizens Financial Group,Financials,Regional Banks,XLF
CLX,Clorox,Consumer Staples,Household Products,XLP
CME,CME Group,Financials,Financial Exchanges & Data,XLF
CMS,CMS Energy,Utilities,Multi-Utilities,XLU
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,XLP
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,XLK
COHR,Coherent Corp.,Information Technology,Electronic Components,XLK
COIN,Coinbase,Financials,Financial Exchanges & Data,XLF
CL,Colgate-Palmolive,Consumer Staples,Household Products,XLP
CMCSA,Comcast,Communication Services,Cable & Satellite,XLC
FIX,Comfort Systems USA,Industrials,Construction & Engineering,XLI
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,XLP
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,XLE
ED,Consolidated Edison,Utilities,Multi-Utilities,XLU
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,XLP
CEG,Constellation Energy,Utilities,Electric Utilities,XLU
COO,Cooper Companies (The),Health Care,Health Care Supplies,XLV
CPRT,Copart,Industrials,Diversified Support Services,XLI
GLW,Corning Inc.,Information Technology,Electronic Components,XLK
CPAY,Corpay,Financials,Transaction & Payment Processing Services,XLF
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,XLB
CSGP,CoStar Group,Real Estate,Real Estate Services,XLRE
